score,base_rgb,base_t,base_u,target_rgb,target_t,target_u,EN,SD,AG,SF,MI_RGB,MI_Thermal,MI_UV,MI_SUM
7.091494517426001,0.94,0.02,0.04,0.55,0.25,0.2,6.001092531062938,56.80969016926651,3.761172717736091,13.937297154355932,2.961065120102045,1.6752591169153133,2.2726486131047805,6.9089728501221375
7.08907413587203,0.94,0.02,0.04,0.39999999999999997,0.3,0.3,6.028566744592455,56.81513955148516,3.763834137239574,13.770133502689408,2.9418572631326008,1.6806761278472615,2.284775053261533,6.907308444241395
7.089046171066026,0.9199999999999999,0.06,0.02,0.55,0.25,0.2,6.1800865744367055,55.27401981503472,3.715921413751296,13.660792393448911,2.824714850204404,2.1542860500901173,1.9302636663917225,6.909264566686242
7.08857884850456,0.94,0.02,0.04,0.6000000000000001,0.2,0.2,5.9804458485709295,56.83273273809424,3.76085858065405,14.023950665085405,2.971131742042234,1.6647810268923242,2.269720568824953,6.905633337759512
7.088120701073598,0.9199999999999999,0.06,0.02,0.39999999999999997,0.3,0.3,6.209457010398676,55.24864692725312,3.7180049669595414,13.48825983206431,2.8056390525621206,2.1609535637245147,1.9425466366178548,6.90913925290449
7.086986254050597,0.94,0.02,0.04,0.5,0.25,0.25,6.006833139760994,56.740541096620134,3.7589421051519887,13.871967983834537,2.954111063938289,1.6735418591255333,2.277205227913042,6.904858150976865
7.084889160870791,0.9199999999999999,0.06,0.02,0.5,0.25,0.25,6.186180391429383,55.20050928279722,3.7135829388359447,13.593995362152288,2.8177413370027393,2.152637079544477,1.9351332793477345,6.905511695894951
7.084158072418871,0.9199999999999999,0.06,0.02,0.6000000000000001,0.2,0.2,6.157316512531704,55.32620929229906,3.7162452465222207,13.750540748054599,2.8360377409320283,2.1416350713105023,1.9262451990404004,6.903918011282932
7.083368908280699,0.94,0.02,0.04,0.55,0.2,0.25,5.987173461619719,56.735921674528925,3.757791382295114,13.949212421605617,2.9630097728175735,1.6634302767318312,2.2744490551544123,6.900889104703817
7.082055383396906,0.94,0.02,0.04,0.45,0.25,0.3,6.011489691557707,56.69762961542414,3.758727386409854,13.820737298624016,2.9472342420778825,1.6718263559840059,2.2811292772496023,6.90018987531149
7.08033539414388,0.9199999999999999,0.06,0.02,0.45,0.25,0.3,6.191131584438277,55.15418244971876,3.713301337059633,13.54149349089022,2.81081340378634,2.1512200190906583,1.9391954637006406,6.90122888657764
